Point_ID,Point_Elevation (m), Flight_Altitude (m),GSD (cm),Flight_Speed (m/s),Nadir_Angle (deg),Overlap_Front (%),Overlap_Side (%),Terrain_Type,Land_Cover,Error_X (cm),Error_Y (cm),Error_Z (cm)
B12,358.4024,90,2.57,4,90,80,70,0,3,-0.56,0.84,-0.71
F12,370.1451,90,2.57,4,90,80,70,0,0,0.1,0.52,-0.2
H12,389.1194,90,2.57,4,90,80,70,1,1,0.81,-0.26,-0.3
B13,384.5465,90,2.57,4,90,80,70,0,0,0.52,-0.42,-1.16
D13,377.724,90,2.57,4,90,80,70,1,1,-0.22,-0.01,-0.09
A14,391.2985,90,2.57,4,90,80,70,1,1,1,0.23,-0.61
C14,393.2008,90,2.57,4,90,80,70,0,0,0.52,0.74,-1.64
A15,379.5951,90,2.57,4,90,80,70,0,1,-0.31,-0.05,1.27
D15,372.5182,90,2.57,4,90,80,70,1,1,-0.92,-0.22,2.01
A16,405.1832,90,2.57,4,90,80,70,1,2,0.28,-0.5,1.75
A17,407.9915,90,2.57,4,90,80,70,1,2,-0.74,-0.66,-0.23
B17,406.0496,90,2.57,4,90,80,70,1,2,0.43,-0.16,-2.34
C17,400.3819,90,2.57,4,90,80,70,0,0,-0.68,-1.01,0.67
B19,374.0606,90,2.57,4,90,80,70,0,0,0.52,0.84,-1.2
A20,378.3628,90,2.57,4,90,80,70,0,0,-0.06,-0.73,1.25
SG11,392.1427,90,2.57,4,90,80,70,1,2,-0.46,-0.87,0.18
D16,385.4658,100,2.88,5,90,80,70,1,2,0.21,-0.43,0.66
E15,380.358,100,2.88,5,90,80,70,1,1,0.13,-0.61,2.04
A013,381.1133,100,2.88,5,90,80,70,0,0,-0.23,0.7,0.58
A11,384.4942,100,2.88,5,90,80,70,0,3,-0.26,0.48,2.69
D11,384.8135,100,2.88,5,90,80,70,1,3,0.07,0.17,1.15
B12,358.4024,100,2.88,5,90,80,70,0,3,-0.88,-0.24,-2.37
F12,370.1451,100,2.88,5,90,80,70,0,0,0.45,1.17,-0.6
H12,389.1194,100,2.88,5,90,80,70,1,1,1.1,0.5,-1.3
B13,384.5465,100,2.88,5,90,80,70,0,0,-0.59,-0.86,1.23
D13,377.724,100,2.88,5,90,80,70,1,1,0.18,0.58,0.29
A14,391.2985,100,2.88,5,90,80,70,1,1,-0.59,-0.93,0.17
C14,393.2008,100,2.88,5,90,80,70,0,0,1.05,0.71,1.26
A15,379.5951,100,2.88,5,90,80,70,0,1,-0.75,-0.41,0.83
D15,372.5182,100,2.88,5,90,80,70,1,1,-0.51,-1.28,0.13
A16,405.1832,100,2.88,5,90,80,70,1,2,0.98,-0.86,-0.54
A17,407.9915,100,2.88,5,90,80,70,1,2,-0.68,-0.64,0.09
B17,406.0496,100,2.88,5,90,80,70,1,2,0.24,0.87,-1.32
C17,400.3819,100,2.88,5,90,80,70,0,0,1.02,-0.12,1.91
B19,374.0606,100,2.88,5,90,80,70,0,0,-0.43,-0.68,0.23
A20,378.3628,100,2.88,5,90,80,70,0,0,-0.55,0.19,-0.34
SG11,392.1427,100,2.88,5,90,80,70,1,2,0.08,-0.94,-1.62
D16,385.4658,110,3.17,5,90,80,70,1,2,-0.49,-0.36,0.55
E15,380.358,110,3.17,5,90,80,70,1,1,-0.16,-1.11,1.95
A013,381.1133,110,3.17,5,90,80,70,0,0,-0.57,-0.87,-1.17
A11,384.4942,110,3.17,5,90,80,70,0,3,0.99,0.42,0.75
D11,384.8135,110,3.17,5,90,80,70,1,3,-1.06,-1.3,1.89
B12,358.4024,110,3.17,5,90,80,70,0,3,-0.73,0.25,-2.53
F12,370.1451,110,3.17,5,90,80,70,0,0,0.23,0.04,-0.85
H12,389.1194,110,3.17,5,90,80,70,1,1,0.12,-0.01,1.25
B13,384.5465,110,3.17,5,90,80,70,0,0,1.46,-0.67,0.51
D13,377.724,110,3.17,5,90,80,70,1,1,-0.05,-1.07,-0.12
A14,391.2985,110,3.17,5,90,80,70,1,1,0.58,1.21,0.04
C14,393.2008,110,3.17,5,90,80,70,0,0,0.84,1.13,1.25
A15,379.5951,110,3.17,5,90,80,70,0,1,-0.79,-0.76,0.01
D15,372.5182,110,3.17,5,90,80,70,1,1,-1.01,-1.85,2.41
A16,405.1832,110,3.17,5,90,80,70,1,2,-0.29,-0.7,-1.45
A17,407.9915,110,3.17,5,90,80,70,1,2,0.78,-1.14,-0.49
B17,406.0496,110,3.17,5,90,80,70,1,2,-0.04,-0.24,-0.25
C17,400.3819,110,3.17,5,90,80,70,0,0,0.87,-1.01,0.8
B19,374.0606,110,3.17,5,90,80,70,0,0,-1.23,0.93,-1.59
A20,378.3628,110,3.17,5,90,80,70,0,0,0.34,-0.6,-1.99
SG11,392.1427,110,3.17,5,90,80,70,1,2,-0.97,0.93,0.32
D16,385.4658,120,3.45,5,90,80,70,1,2,-0.36,0.61,1
E15,380.358,120,3.45,5,90,80,70,1,1,-1.98,-1.94,2.14
A013,381.1133,120,3.45,5,90,80,70,0,0,0.97,0.97,-1.73
A11,384.4942,120,3.45,5,90,80,70,0,3,0.64,-0.27,-0.1
D11,384.8135,120,3.45,5,90,80,70,1,3,-0.9,0.35,1.77
B12,358.4024,120,3.45,5,90,80,70,0,3,0.72,1.45,-1.7
F12,370.1451,120,3.45,5,90,80,70,0,0,1.17,1.48,0.53
H12,389.1194,120,3.45,5,90,80,70,1,1,0.03,1.51,-1.64
B13,384.5465,120,3.45,5,90,80,70,0,0,-0.3,-0.86,0.62
D13,377.724,120,3.45,5,90,80,70,1,1,0.17,-0.1,0.25
A14,391.2985,120,3.45,5,90,80,70,1,1,0.11,-0.08,1.13
C14,393.2008,120,3.45,5,90,80,70,0,0,1.53,1.52,0.61
A15,379.5951,120,3.45,5,90,80,70,0,1,-0.41,-0.02,0.22
D15,372.5182,120,3.45,5,90,80,70,1,1,-0.41,0.05,0.96
A16,405.1832,120,3.45,5,90,80,70,1,2,1.75,-1.06,-2.3
A17,407.9915,120,3.45,5,90,80,70,1,2,1.7,-0.6,1.37
B17,406.0496,120,3.45,5,90,80,70,1,2,1.09,-0.61,-0.66
C17,400.3819,120,3.45,5,90,80,70,0,0,1.12,-0.95,2.93
B19,374.0606,120,3.45,5,90,80,70,0,0,-0.95,-0.38,0.36
A20,378.3628,120,3.45,5,90,80,70,0,0,0.39,-0.13,0.97
SG11,392.1427,120,3.45,5,90,80,70,1,2,-0.52,0.32,-0.68
D16,385.4658,130,3.66,5,90,80,70,1,2,0.66,0.04,0.78
E15,380.358,130,3.66,5,90,80,70,1,1,-1.49,-0.63,0.73
A013,381.1133,130,3.66,5,90,80,70,0,0,0.26,-1.28,0.57
A11,384.4942,130,3.66,5,90,80,70,0,3,0.72,1.9,0.88
